"text","label"
"part mission rescue almog meir jan andrey kozlov shlomi ziv noa argamani subsequently renamed operation arnon honor even arrival funeral procession jerusalem’s mount herzl military cemetery israelis lined street outside zmora family’s home nearby town mevasseret zion waving israeli flags tribute"," ""Pro-Israel"""
"‘your favorite movie child ‘robin hood’ second grade dressed paratrooper"," ""Pro-Israel"""
"“arnon knew heard lot fought october 7 kibbutzim surrounding gaza participated countless activities operations forever hidden public eye” shabtai said “you always understood mission strove contact acted courage reserved outstanding people believe deeply felt magnitude hour"," ""Pro-Israel"""
"abdallah aljamal news contributor exhamas spokesman killed troops hostage rescue nuseirat holding almog meir jan andrey kozlov shlomi ziv captive"," ""Pro-Israel"""
"abdallah aljamal previously spokesman hamasrun labor ministry gaza contributed several news outlets past amid war gaza numerous articles aljamal published palestine chronicle outlet including hostages almog meir jan andrey kozlov shlomi ziv allegedly held captive home fourth hostage noa argamani rescued nearby building saturday’s operation"," ""Pro-Israel"""
"“this proof hamas terrorist organization uses civilian population human shield” military said amid raid aljamals’ home yamam commander ch insp arnon zmora fatally wounded hamas terrorists’ gunfire zmora died upon arriving hospital israel rescue mission later named “operation arnon” honor"," ""Pro-Israel"""
"one israel’s worst attacks kills least 274 palestinians nuseirat refugee camp leaves hospitals struggling cope"," ""pro-palestinian"""
"several countries international organisations condemned israeli killing least 274 palestinians operation free four israeli captives central gaza’s nuseirat refugee camp"," ""pro-palestinian"""
"authorities gaza strip sunday said least 698 others injured “an unprecedented brutal attack” critical condition hospitals struggle cope flow wounded dead bodies"," ""pro-palestinian"""
"reporting inside alaqsa martyrs hospital central gaza’s deir elbalah al jazeera’s hind khoudary sunday said civil defence crews still finding dead wounded palestinians rubble aftermath nuseirat attack air strikes target areas across enclave"," ""pro-palestinian"""
