text,label
"The United Nations has said the Palestinian territory has been brought to the brink of famine because not enough aid is reaching civilians. Airdrops are one of the least efficient ways of delivering assistance, but aid trucks have been prevented from crossing into Gaza.","Pro-Palestinian"
"He was the army chief of staff from 2011-2015. During the 2014 war in Gaza, more than 2,000 Palestinians were killed.","Pro-Palestinian"
"The Qassam Brigades, Hamas’s armed wing, has claimed three captives were killed, including a US citizen, in the Israeli raid on Gaza’s Nuseirat refugee camp in which four captives were freed. Israeli military spokesman Lieutenant-Colonel Peter Lerner has denied the claim as 'Hamas propaganda'.","Pro-Palestinian"
"Having served as Harvard’s president for just six months, Claudine Gay resigned from the position in January this year, following her appearance at a congressional testimony about 'rising anti-Semitism' on the college campus in December 2023.","Pro-Palestinian"
"Israel’s operation to free four captives held by Hamas killed more than 270 Palestinians and injured around 700 others in Gaza’s Nuseirat refugee camp. What’s being praised as a success in Israel has been condemned by several countries and organisations, including the UN, EU, and aid agencies.","Pro-Palestinian"
"Arnon Zmora’s widow eulogizes ‘a sweet man full of laughter, sensitivity and compassion’; in tearful tribute, uncle of rescued hostage says families have ‘unbreakable alliance’","Pro-Israel"
"Mevasseret Zion, June 9, 2024. (Yonatan Sindel/Flash90) Thousands of mourners, among them family members of hostages held in Gaza, flocked to Jerusalem on Sunday to attend the funeral of Arnon Zmora, the police counter-terror officer killed Saturday during an operation that rescued four captives from central Gaza.","Pro-Israel"
"He was part of the mission to rescue Almog Meir Jan, Andrey Kozlov, Shlomi Ziv and Noa Argamani, which was subsequently renamed 'Operation Arnon' in his honor. Even before the arrival of the funeral procession at Jerusalem’s Mount Herzl military cemetery, Israelis lined the street outside the Zmora family’s home in the nearby town of Mevasseret Zion, waving Israeli flags in tribute.","Pro-Israel"
"‘Your favorite movie as a child was ‘Robin Hood.’ In second grade, you dressed up as a paratrooper.","Pro-Israel"
"“Arnon, I knew you and heard a lot about you. You fought on October 7 in the kibbutzim surrounding Gaza, you participated in countless activities and operations that will forever be hidden from the public eye,” Shabtai said. “You always understood the mission that was before you, you strove for contact, you acted with the courage reserved for outstanding people, and I believe you deeply felt the magnitude of the hour.","Pro-Israel"
"Abdallah Aljamal, news contributor and ex-Hamas spokesman, was killed by troops in hostage rescue in Nuseirat; he was holding Almog Meir Jan, Andrey Kozlov and Shlomi Ziv captive.","Pro-Israel"
"Abdallah Aljamal was previously a spokesman for the Hamas-run labor ministry in Gaza and has contributed to several news outlets in the past. Amid the war in Gaza, numerous articles by Aljamal had been published by the Palestine Chronicle outlet, including while hostages Almog Meir Jan, Andrey Kozlov and Shlomi Ziv were allegedly being held captive in his home. The fourth hostage, Noa Argamani, was rescued from a nearby building in Saturday’s operation.","Pro-Israel"
"“This is further proof that the Hamas terrorist organization uses the civilian population as a human shield,” the military said. Amid the raid on the Aljamals’ home, Yamam commander Ch. Insp. Arnon Zmora was fatally wounded by Hamas terrorists’ gunfire. Zmora died upon arriving at a hospital in Israel, and the rescue mission was later named “Operation Arnon” in his honor.","Pro-Israel"
"One of Israel’s worst attacks kills at least 274 Palestinians at Nuseirat refugee camp and leaves hospitals struggling to cope.","Pro-Palestinian"
"Several countries and international organisations have condemned the Israeli killing of at least 274 Palestinians during an operation to free four Israeli captives in central Gaza’s Nuseirat refugee camp.","Pro-Palestinian"
"Authorities in the Gaza Strip on Sunday said at least 698 others were injured in “an unprecedented brutal attack”, some in critical condition, as hospitals struggle to cope with the flow of wounded or dead bodies.","Pro-Palestinian"
"Reporting from inside Al-Aqsa Martyrs Hospital in central Gaza’s Deir el-Balah, Al Jazeera’s Hind Khoudary on Sunday said civil defence crews are still finding dead or wounded Palestinians from under the rubble in the aftermath of the Nuseirat attack, as more air strikes target areas across the enclave.","Pro-Palestinian"
"palestinians describe israeli killings gaza raid free captives gaza al jazeera play video play video video duration 02 minutes 37 seconds 0237 palestinians central gaza accused israeli forces executions mass killings major attack free four israeli captives published 10 jun 2024 10 jun 2024","Pro-Palestinian"

"benny gantz’s resignation affected israeli government politics news al jazeera israeli prime minister benjamin netanyahu left benny gantz al jazeera staff published 10 jun 2024 10 jun 2024 much might think former general leader israel’s national unity party benny gantz resigned war cabinet citing failure wider cabinet agree plan gaza beyond current war keep reading list 4 items list 1 4 gantz really danger netanyahu’s power israel gantz really danger netanyahu’s list 2 4 plight israeli captives affecting ceasefiredeal chances plight israeli captives list 3 4 israel war cabinet minister benny gantz quits netanyahu’s government israel war cabinet minister benny gantz list 4 4 blinken headed middle east push gaza ceasefire plan blinken headed middle east push end list midmay gantz submitted sixpoint plan administration gaza beyond fighting time said agreed would quit cabinet gantz regarded relative centrist principal rival prime minister benyamin netanyahu details happened may mean israel palestine gantz’s plan gantz said proposed sixpoint plan would include bringing temporary useuropeanarabpalestinian system civil administration enclave israel retaining overall control security also proposed spreading burden national service across israelis including ultraorthodox jews whose exemption draft protected two parties netanyahu’s coalition cabinet gantz addresses press kiryat shmona november 14 2023 didn’t netanyahu like gantz’s plan growing consensus israel abroad netanyahu rejected personal gain resignation gantz said “netanyahu preventing us advancing toward true victory” israel’s principal ally us president joe biden told time magazine tuesday “there every reason people” think netanyahu prolonging war gaza political survival may belief war protect netanyahu legal repercussions bribery fraud breach trust charges hung since 2019 indictment may also future plan gaza may split coalition cabinet – want build illegal settlements others like gantz want administered international task force netanyahu – campaigned “mr security” – may also trying avoid dealing failings october 7 palestinian group hamas led attack israel saw 1139 people killed dozens taken captive benefit far right gives room grow gantz leaving war cabinet netanyahu defense minister yoav gallant leaves slot open one farright politicians netanyahu relies sustain rule national security minister itamar bengvir already expressed interest gantz’s war cabinet seat extreme rightwing partnership bengvir finance minister bezalel smotrich strong netanyahu’s coalition cabinet combined parliament seats outweigh gantz’s centre gantz ineffective political counterweight departure government remove strong voice critical far right israeli politics mean gaza little that’s good bengvir smotrich clear plan gaza involves people “voluntarily migrating” israelis settling netanyahu may oppose yet confront far right anything significant since war launched gaza october change israelis feel israelis still seem support war starkly divided along political lines fewer confident netanyahu achieve aims “destroying hamas” freeing captives military means every week tens thousands people crowd socalled democracy square tel aviv locations around country demand exchange deal release captives dismissal prime minister netanyahu polling shows gantz consistently lead netanyahu polls netanyahu edging ahead gantz threatened quit cabinet deemed unpatriotic elections may still way according eyal luriepardes middle east institute feels netanyahu hold coalition together summer recess electoral laws would mean election could happen march change israel’s allies feel little suggest gantz’s resignation despite preferred interlocutor united states change anything us western states continued supply israel arms diplomatic support since started bombing gaza october – ignoring international accusations “genocide” applications international arrest warrants netanyahu gallant even apparent rejection ceasefire plan presented biden done little undermine support israel us source al jazeera ajlogo ajlogo ajlogo","Pro-Palestinian"

"palestinians sheltering destroyed homes gaza gaza al jazeera play video play video video duration 03 minutes 18 seconds 0318 palestinians khan younis gaza returned live amongst rubble destroyed houses israel’s war continues leave people nowhere safe go published 10 jun 2024 10 jun 2024","Pro-Palestinian"

"israel war cabinet minister benny gantz quits netanyahu’s government gaza news al jazeera israeli minister benny gantz addresses media ultimatum withdraw party prime minister benjamin netanyahu’s emergency government expired ramat gan israel published 9 jun 2024 9 jun 2024 updated 4 hours ago israeli minister benny gantz announced resignation prime minister benjamin netanyahu’s emergency government withdrawing centrist power embattled leader’s farright coalition amid monthslong assault gaza “netanyahu preventing us advancing toward true victory leaving emergency government today heavy heart full confidence” gantz said televised news conference sunday keep reading list 3 items list 1 3 harvard graduating students denied degrees palestine protest harvard graduating students denied list 2 3 israel’s rescue four captives kills hundreds palestinians israel’s rescue four captives kills list 3 3 israel’s war gaza view china israel’s war gaza view end list called early elections saying “there elections eventually establish government win trust people able face challenges” “i call netanyahu set agreed election date” gantz last month threatened leave emergency government – formed last year oversee war gaza – netanyahu failed present postwar plan besieged bombarded palestinian territory israel continuing ground aerial bombardment campaign killed 37000 people since october 7 according gaza health officials demonstrations netanyahuled government important must lawful gantz said “the protests important however need conducted legal manner must encourage hatred other’s enemies enemies outside borders” told reporters “i part national unity government includes centrist parties option allow us face challenges stand us even netanyahu like said need true genuine unity partial unity” don’t ‘abandon front’ gantz also called israeli defence minister yoav gallant “do right” netanyahu issued brief statement calling gantz “abandon front” departure endanger parliamentary majority 64 seats 120seat knesset held ruling rightwing coalition gantz seen netanyahu’s main political rival israel leading figure opposition joining war cabinet al jazeera’s sara khairat reporting jordan’s capital amman said move come surprise “he said demands clear” khairat said “benny gantz brought war cabinet … beginning showed united front cracks started appear throughout much speculation eventually last month said gave prime minister ultimatum” said gantz’s departure khairat said leaves “floor open farright ministers” within netanyahu’s coalition government join war cabinet including israel’s finance minister bezalel smotrich’s party smotrich reacted gantz’s resignation post x “there act less stately withdrawing government war” said “this exactly sinwar nasrallah iran aiming unfortunately fulfilling request” smotrich also said referring hamas hezbollah leaders “i call leaders zionist parties state israel important join unity government victory” smotrich’s farright party draws support israel’s settler community source al jazeera news agencies ajlogo ajlogo ajlogo","Pro-Palestinian"
"israel’s massacre nuseirat … world see us israelpalestine conflict al jazeera palestinians walk smoke dust following israeli attack nuseirat camp june 8 2024 maram humaid published 9 jun 2024 9 jun 2024 deir elbalah gaza – yesterday anything ordinary felt like descending depths hell war returned brutality intensity world erupted chaos engulfed flames shelling bombing keep reading list 3 items list 1 3 calls end gaza ‘bloodbath’ israeli attack kills 274 palestinians calls end gaza ‘bloodbath’ list 2 3 israel occupying palestine echoes france colonising algeria analysts israel occupying palestine echoes france list 3 3 israel white phosphorous attacks lebanon harming people ecosystem israel white phosphorous attacks end list night relentless artillery fire continued across central gaza east bureij deir elbalah maghazi around 11am eating breakfast children heading alaqsa martyrs hospital work stories everything suddenly turned upside artillery bombardment escalated warplanes filled skies air strikes shook home shooting homes deir elbalah around us roar tanks firing accompanied relentless shelling helicopters quadcopters drones hovering fear gripped us flee hunker home news said something happening nuseirat bombing around us massive blow hit house right alaqsa hospital heard israeli army told hospital evacuate crazy moment thanked god hadn’t hospital could feel terror probably unfolding hospital overflowing displaced families makeshift media tents stood lone medical facility central gaza dealing staggering number casualties fate awaited people moments hundreds displaced people began flee panic hospital faces etched fear wandering aimlessly streets deir elbalah amid chaos cries screams filled air collective question “where go here” reality grim conflicting reports muddying situation reported ground incursion nuseirat others said specialised unit stormed house near nuseirat market shelling gunfire frenzied aerial artillery bombardment continued home amid palpable sense alarm nerves frayed tried process onslaught events trying reach fellow journalists evacuated hospital avail one point realised might launch ground operation started throwing essentials bag brother left egypt two months prior called interrupting chaos concern etched voice asked safety cautioning leaving streets full displaced people bombs relentless barrage bombing gunfire persisted two hours news emerged israeli media attributing chaos military operation free four israelis taken captive october 7 woman injured israeli air raid unrwa school nuseirat refugee camp alaqsa hospital treatment deir elbalah june 6 2024 two days attack maram humaid writes moments silence hesitation situation calmed bombing shooting quieted started seeing scenes dead wounded arriving hospitals people documenting victims fell bombing market homes dismembered body parts children bodies people lying along road tanks took leave terror chaos mass casualties inflicted israel free captives initially official figures stood 50 civilian deaths operation climbed steadily 226 274 confirmed government media office agonising questions began palestinian blood expendable 200 killed less two hours release four israeli captives heaviness came heart frustration deep sadness gripped watched tragedies survived ordeal grappling aftermath trauma communications couldn’t reach several relatives friends displaced rafah nuseirat husband got call – uncle’s wife cousin killed efforts check friends yielded answers hours later came across social media posts detailing horrors endured أنا تعبانة كتير مش قادرة أصدق اللي عشته اليوم الساعة 11 كنا قاعدين جنب الخيمة أنا ويامن وفجأة الأباتشي كان فوق راسنا وصارت تضرب قنابل حراريّة وبعدين رصاص حيّ ع الناس في البحر والخيم وبعدين بلش قصف شديد والخيم جنبنا تم قصفها وانحرقت وصرنا نجري مع الناس وكأنه يوم الحشر بالعافية… — وين نروح؟ nourgaza june 8 2024 survivor recounts miraculous escape death friend nour unrwa teacher mother three kids shared x “i can’t believe experienced today 11 o’clock next tent yamen suddenly apache heads started shooting bombs bullets people sea tents … started running … day judgment” islam friend follows news family’s news malaysia told happened sister wrote x “my sister … described scene … ‘like day resurrection people running crying streets know run survive … air land sea bombardment everywhere … god sufficient us best disposer affairs mighty one heavens avenge us heal chests gaza’” story us bear witness happened chaos hell screaming terror relentless bombardment gunfire exodus death every turn amid thoughts interrupted daughter baniyas experienced every moment tears eyes asking incessantly “mama reach deir elbalah sounds far away” أختي نازحة في منطقة الحدث في النصيرات، تصف لنا المشهد بعد تمكنها من التواصل معنا قبل قليل تقول لنا مثل يوم القيامة، الناس تجري وتبكي في الشوارع ولا تدري أين تهرب لتنجو، طائرات الأباتشي تطير على ارتفاع منخفض جداً، وطائرات خاصة أمام أعيننا تُنزل قوات خاصة، قصف جوي وبري وبحري من كل… — إسلام الهبيل islamelhabil june 8 2024 reassure “don’t afraid mama fear etched us lies ahead” distressing aspect massacre may portrayal media images liberated israeli captives circulated statements lauded israel’s success freeing four people – 274 people killed mere numbers blood easily disregarded suffering overlooked lives israeli captives deemed valuable doesn’t world see us doesn’t world feel we’ve victimised time war twice much neglect oppression indifference two days ago announced us’s floating dock would repaired negligible assistance would restored yet trucks used perpetrate massacre nuseirat free israelis rationale world permit maram started throwing essentials bags afraid possible land operation concerted effort eradicate us we’ve never placed trust us’s role never brazen we’re facing hunger bombings daily war aid trucks coming corridor meant aid us used ambush us rescue israeli captives world rushes shield israel turn us conspire expense blood sorrow tragedies – everyone dances upon we’re labelled terrorists every minute murder unhindered gaza forget forgive words reports statistics futile there’s point talking every night massacre retreat mattress overcrowded home displaced people hold son tight implore god envelop us mercy spare us grief lament lord world’s betrayal brothers’ silence allies’ pressure us forgive forget source al jazeera ajlogo ajlogo ajlogo","Pro-Palestinian"
"al jazeera reporter describes horror inside gaza’s overwhelmed hospital gaza al jazeera play video play video video duration 01 minutes 37 seconds 0137 dead wounded israel’s massive assault gaza’s nuseirat refugee camp overwhelmed hospitals al jazeera’s hind khoudary alaqsa martyrs hospital deir elbalah scene resembles slaughterhouse published 9 jun 2024 9 jun 2024","Pro-Palestinian"
"dozens propalestinian protesters called ceasefire outside nba finals game 2 boston fox news close video rep nancy mace antiisrael protests isnt 1940s germany rep nancy mace rsc weighs president bidens trip france administration urging hamas accept ceasefire deal israel expectations g7 summit dozens propalestinian demonstrators outside td garden boston sunday calling ceasefire gaza thousands fans made way area game two nba finals roughly 50 protesters told boston 25 news aiming raise awareness ongoing war middle east hamas terrorists israeli forces began hamas attacked israel oct 7 leading military retaliation israeli forces need end genocide protest organizer aneeqa abid told outlet calling immediate ceasefire end military occupation palestine protest happened ahead second game nba finals boston celtics defeated dallas mavericks 10598 take 20 lead best seven series celtics take 20 series lead behind epic games jayson tatum jrue holiday dozens propalestinian demonstrators outside td garden boston sunday calling ceasefire gaza istock demonstrators handing signs palestinian flag one side celtics logo favorite home team palestine… sports standing justice separated abid said protesters also handed informational flyers war gaza picture celtics legend bill russell front russell also civil rights activist died 2022 age 88 judge orders university california workers end strike protesting response antiisrael protests protest happened outside td garden ahead second game nba finals erica denhofficon sportswire via getty images click get fox news app would bill russell title fliers read several fans passing protest visually verbally expressed disagreement frustration demonstration people cursed us we’re saying don’t forget gaza abid said hottest stories ripped headlines crime courts legal scandal arrives weekly subscribe subscribed subscribe youve successfully subscribed newsletter","Pro-Israel"
"israel demands answers al jazeera ‘hamas terrorist’ worked reporter fox news close video us backing israel hilt cotton sen tom cotton rark discusses israeli hostage rescue benjamin netanyahus handling war bidens apology volodymyr zelenskyy ukraine aid bill delay speculation trumps vp selection join fox news access content plus special access select articles premium content account free charge entering email pushing continue agreeing fox news terms use privacy policy includes notice financial incentive please enter valid email address entering email pushing continue agreeing fox news terms use privacy policy includes notice financial incentive israel defense forces sunday accused qatari regimeowned al jazeera news organization employing hamas terrorist whose family held three hostages freed saturdays idf raid idf killed alleged al jazeera reporter abdallah aljamal dramatic rescue mission nuseirat gaza strip idf wrote x formerly known twitter journalist abdallah aljamal hamas terrorist holding almog andrey shlomi hostage family’s home nuseirat press vest make innocent crimes committed aljazeera what’s terrorist website al jazeera listed aljamal author website reportedly wrote least one article dohabased network jerusalem bureau chief nowclosed al jazeera office walid omary denied aljamal worked al jazeera told fox news digital whatsapp message families hostages taken israel oct 7 plead peace interfaith conference nyc man al jazeera work al jazeera listed working al jazeera neither past omary said adding know rumors spread empty content true omary said al jazeera plans sue anyone disseminating claims abdallah aljamal connected outlet idf accused al jazeera news organization employing hamas terrorist ramsey cardysportsfile web summit qatar via getty imagesfile imran khan senior correspondent al jazeeras english channel wrote instagram aljamal freelancer past individual question killed raid along family one point freelance journalist khan wrote never worked al jazeera arabic english aljamal report palestine chronicle sunday wrote saddened learn abdallah aljamal one contributors gaza strip killed latest israeli massacre nuseirat refugee camp response fox news digital query palestinian chronicle replied statement article aljamals death particularly tragic aljamals last contribution palestine chronicle covered previous massacre killed 40 palestinian civilians unrwa school refugee camp article reads israeli media linking aljamals family israeli captives claiming abdallah’s father dr ahmed members family executed process bloody rescue mission claims refuted respected commentators journalists online pointed inconsistencies official israeli narrative palestine chronicle registered us nonprofit organization post office box listed mountlake terrace washington israel rescues 4 hostages kidnapped hamas overjoyed al jazeera reporters embroiled supporting terrorism years according detailed may updated report published washington dcbased middle east media research institute memri titled aljazeera arabic qatariowned tv channel promotes islamist terrorism worldwide yigal carmon president founder memri listed examples al jazeera reporters allegedly aided hamas oct 7 massacre israel aljazeera journalists recently ‘outed’ hamas pij fighters palestinian journalist working aljazeera muhammad wishah appears also commander military wing hamas according documents laptop found israeli army hamas base northern gaza idf forces seen operating rafah city gaza strip idf spokesmans office carmon noted another aljazeera correspondent ismail abu omar participated october 7 attack documenting within gaza envelope airlifted doha medical treatment february 19 wounded israeli airstrike rafah week earlier identified hamas platoon deputy commander according memri report aljazeera employed correspondent tayseer allouni sentenced spain seven years prison transferring funds alqaeda – alqaeda even issued public statement support aljazeera broadcast live killing us soldier iraqi sniper – could happened media network coordinated perpetrators killing omary told fox news digital credibility mimri sic report check investigations reports mimri sic alone evaluate credibility fox news digital approached qatar’s ambassador us sheikh meshal bin hamad al thani al jazeera qatari embassy london comment memri report exisraeli defense minister says iran planning nuclear holocaust regime censored atomic program hamas massacred nearly 1200 people oct 7 southern israel including 30 americans sunni terrorist organization hamas currently holding 121 hostages gaza aljamal’s wife killed idf rescue operation palestinian fighter armed wing hamas takes part military parade mark anniversary 2014 war israel near border central gaza strip july 19 2023 reutersibraheem abu mustafafile last week tel avivjaffa district court determined close connection al jazeera hamas court’s deputy president shai yaniv said based review classified documents picture emerges documents demonstrates categorically convincing clear unambiguous evidence close longterm connection hamas terror organization al jazeera media network hamas terror organization advancing goals channel israeli military experts told fox news digital al jazeera uses reporters track israeli military movements delivers information hamas yaniv said evidence shows al jazeera harmed israel’s national security click get fox news app israel’s former prime minister naftali bennett wrote x abdallah aljamal aljazeera reporter hamas terrorist held three israeli civilians hostage home confirmed unfortunately many gaza civilians taking active role terror thousands participated october 7th massacres rapes hundreds thousands provide homes hamas terror bases ammunition storage jail israeli hostages added isn’t bug it’s feature hamas’ core strategy use civilians weapons it’s grows number casualties gaza hamas determined kill gazans nobody stop hamas’ defeat benjamin weinthal reports israel iran syria turkey europe follow benjamin twitter benweinthal email benjaminweinthalfoxcom fox news antisemitism exposed newsletter brings stories rising antijewish prejudice across us world arrives weekly subscribe subscribed subscribe youve successfully subscribed newsletter","Pro-Israel"
